orderNumber,orderDate,requiredDate,shippedDate,status,comments,customerNumber,productCode,quantityOrdered,priceEach,orderLineNumber,paymentDate,amount,interactionID,interactionType,interactionDate,reviewID,reviewDate,rating,reviewText,employeeNumber,officeCode
207,2024-08-11,2024-08-18,NULL,Cancelled,Order placed by customer 239,239,PRD00015,81,69.17,1,2024-09-11,2506.46,554,Email,2024-05-18,NULL,NULL,NULL,NULL,738,733
207,2024-08-11,2024-08-18,NULL,Cancelled,Order placed by customer 239,239,PRD00015,81,69.17,1,2024-09-11,2506.46,863,In-Person Meeting,2023-11-07,NULL,NULL,NULL,NULL,738,733
841,2024-06-28,2024-07-05,2024-06-30,Shipped,Order placed by customer 216,216,PRD00016,56,72.41,1,NULL,NULL,NULL,NULL,NULL,730,2023-11-19,2,"Good quality, but a bit expensive.",945,358
469,2024-06-30,2024-07-07,NULL,Cancelled,Order placed by customer 507,507,PRD00016,22,75.75,1,2024-08-30,2704.26,376,Online Chat,2023-12-18,730,2023-11-19,2,"Good quality, but a bit expensive.",977,841
891,2024-07-08,2024-07-15,NULL,Cancelled,Order placed by customer 146,146,PRD00017,58,70.33,1,NULL,NULL,127,In-Person Meeting,2024-08-02,581,2024-01-25,3,"Not satisfied, would not buy again.",933,977
891,2024-07-08,2024-07-15,NULL,Cancelled,Order placed by customer 146,146,PRD00017,58,70.33,1,NULL,NULL,609,Online Chat,2024-09-17,581,2024-01-25,3,"Not satisfied, would not buy again.",933,977
352,2024-07-29,2024-08-05,NULL,Pending,Order placed by customer 1000,1000,PRD00019,71,91.69,1,2024-09-17,4075.53,NULL,NULL,NULL,547,2023-10-06,3,Excellent product! Highly recommended.,228,229
949,2024-07-14,2024-07-21,NULL,In Process,Order placed by customer 92,92,PRD00020,49,41.61,1,2024-07-15,2263.78,NULL,NULL,NULL,NULL,NULL,NULL,NULL,791,148
949,2024-07-14,2024-07-21,NULL,In Process,Order placed by customer 92,92,PRD00020,49,41.61,1,2024-08-05,4464.30,NULL,NULL,NULL,NULL,NULL,NULL,NULL,791,148
741,2024-06-21,2024-06-28,NULL,Cancelled,Order placed by customer 818,818,PRD00023,30,44.77,1,2024-09-13,4075.88,944,Email,2024-02-08,230,2024-01-04,3,"Good quality, but a bit expensive.",676,920
741,2024-06-21,2024-06-28,NULL,Cancelled,Order placed by customer 818,818,PRD00023,30,44.77,1,2024-09-13,4075.88,944,Email,2024-02-08,502,2024-02-13,1,"Good quality, but a bit expensive.",676,920
741,2024-06-21,2024-06-28,NULL,Cancelled,Order placed by customer 818,818,PRD00023,30,44.77,1,2024-09-13,4075.88,944,Email,2024-02-08,926,2024-02-24,5,"Good quality, but a bit expensive.",676,920
289,2024-06-29,2024-07-06,NULL,Pending,Order placed by customer 553,553,PRD00026,70,66.91,1,NULL,NULL,148,Phone Call,2023-12-11,NULL,NULL,NULL,NULL,995,629
289,2024-06-29,2024-07-06,NULL,Pending,Order placed by customer 553,553,PRD00026,70,66.91,1,NULL,NULL,425,Phone Call,2024-05-14,NULL,NULL,NULL,NULL,995,629
289,2024-06-29,2024-07-06,NULL,Pending,Order placed by customer 553,553,PRD00026,70,66.91,1,NULL,NULL,484,Phone Call,2023-12-18,NULL,NULL,NULL,NULL,995,629
148,2024-07-24,2024-07-31,2024-07-26,Shipped,Order placed by customer 189,189,PRD00027,18,93.91,1,2024-09-01,4237.14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,244,115
148,2024-07-24,2024-07-31,2024-07-26,Shipped,Order placed by customer 189,189,PRD00027,18,93.91,1,2024-08-16,4137.71,NULL,NULL,NULL,NULL,NULL,NULL,NULL,244,115
200,2024-08-10,2024-08-17,NULL,In Process,Order placed by customer 29,29,PRD00027,31,65.72,1,NULL,NULL,458,Email,2024-06-16,NULL,NULL,NULL,NULL,526,657
269,2024-07-03,2024-07-10,NULL,Cancelled,Order placed by customer 908,908,PRD00028,69,16.76,1,2024-08-01,127.67,790,In-Person Meeting,2023-09-28,398,2023-12-17,1,Excellent product! Highly recommended.,917,668
540,2024-08-27,2024-09-03,NULL,Pending,Order placed by customer 239,239,PRD00028,28,90.16,1,2024-07-01,1091.77,554,Email,2024-05-18,398,2023-12-17,1,Excellent product! Highly recommended.,738,733
540,2024-08-27,2024-09-03,NULL,Pending,Order placed by customer 239,239,PRD00028,28,90.16,1,2024-07-01,1091.77,863,In-Person Meeting,2023-11-07,398,2023-12-17,1,Excellent product! Highly recommended.,738,733
540,2024-08-27,2024-09-03,NULL,Pending,Order placed by customer 239,239,PRD00028,28,90.16,1,2024-07-20,1651.21,554,Email,2024-05-18,398,2023-12-17,1,Excellent product! Highly recommended.,738,733
540,2024-08-27,2024-09-03,NULL,Pending,Order placed by customer 239,239,PRD00028,28,90.16,1,2024-07-20,1651.21,863,In-Person Meeting,2023-11-07,398,2023-12-17,1,Excellent product! Highly recommended.,738,733
540,2024-08-27,2024-09-03,NULL,Pending,Order placed by customer 239,239,PRD00028,28,90.16,1,2024-07-01,1229.63,554,Email,2024-05-18,398,2023-12-17,1,Excellent product! Highly recommended.,738,733
540,2024-08-27,2024-09-03,NULL,Pending,Order placed by customer 239,239,PRD00028,28,90.16,1,2024-07-01,1229.63,863,In-Person Meeting,2023-11-07,398,2023-12-17,1,Excellent product! Highly recommended.,738,733
540,2024-08-27,2024-09-03,NULL,Pending,Order placed by customer 239,239,PRD00028,28,90.16,1,2024-09-16,487.39,554,Email,2024-05-18,398,2023-12-17,1,Excellent product! Highly recommended.,738,733
540,2024-08-27,2024-09-03,NULL,Pending,Order placed by customer 239,239,PRD00028,28,90.16,1,2024-09-16,487.39,863,In-Person Meeting,2023-11-07,398,2023-12-17,1,Excellent product! Highly recommended.,738,733
540,2024-08-27,2024-09-03,NULL,Pending,Order placed by customer 239,239,PRD00028,28,90.16,1,2024-09-11,2506.46,554,Email,2024-05-18,398,2023-12-17,1,Excellent product! Highly recommended.,738,733
540,2024-08-27,2024-09-03,NULL,Pending,Order placed by customer 239,239,PRD00028,28,90.16,1,2024-09-11,2506.46,863,In-Person Meeting,2023-11-07,398,2023-12-17,1,Excellent product! Highly recommended.,738,733
434,2024-09-08,2024-09-15,NULL,Pending,Order placed by customer 636,636,PRD00030,49,63.05,1,2024-08-12,2735.95,NULL,NULL,NULL,92,2023-12-18,1,Excellent product! Highly recommended.,634,386
434,2024-09-08,2024-09-15,NULL,Pending,Order placed by customer 636,636,PRD00030,49,63.05,1,2024-08-12,2735.95,NULL,NULL,NULL,55,2024-03-05,4,"Average product, could be better.",634,386
145,2024-09-13,2024-09-20,NULL,Cancelled,Order placed by customer 119,119,PRD00031,52,29.53,1,2024-08-08,241.49,NULL,NULL,NULL,NULL,NULL,NULL,NULL,708,533
145,2024-09-13,2024-09-20,NULL,Cancelled,Order placed by customer 119,119,PRD00031,52,29.53,1,2024-08-10,4259.41,NULL,NULL,NULL,NULL,NULL,NULL,NULL,708,533
145,2024-09-13,2024-09-20,NULL,Cancelled,Order placed by customer 119,119,PRD00031,52,29.53,1,2024-08-16,1241.87,NULL,NULL,NULL,NULL,NULL,NULL,NULL,708,533
296,2024-07-15,2024-07-22,NULL,Pending,Order placed by customer 263,263,PRD00032,74,95.52,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,736,632
663,2024-09-15,2024-09-22,NULL,Pending,Order placed by customer 615,615,PRD00032,31,29.26,1,2024-07-09,2798.97,123,Email,2024-08-31,NULL,NULL,NULL,NULL,901,321
663,2024-09-15,2024-09-22,NULL,Pending,Order placed by customer 615,615,PRD00032,31,29.26,1,2024-07-09,2798.97,407,Online Chat,2024-04-04,NULL,NULL,NULL,NULL,901,321
663,2024-09-15,2024-09-22,NULL,Pending,Order placed by customer 615,615,PRD00032,31,29.26,1,2024-07-09,2798.97,896,In-Person Meeting,2023-12-19,NULL,NULL,NULL,NULL,901,321
663,2024-09-15,2024-09-22,NULL,Pending,Order placed by customer 615,615,PRD00032,31,29.26,1,2024-07-09,2798.97,910,Phone Call,2024-07-23,NULL,NULL,NULL,NULL,901,321
73,2024-07-23,2024-07-30,NULL,In Process,Order placed by customer 123,123,PRD00033,64,20.57,1,NULL,NULL,65,Email,2023-11-16,NULL,NULL,NULL,NULL,374,563
73,2024-07-23,2024-07-30,NULL,In Process,Order placed by customer 123,123,PRD00033,64,20.57,1,NULL,NULL,856,Phone Call,2023-11-14,NULL,NULL,NULL,NULL,374,563
615,2024-07-01,2024-07-08,NULL,In Process,Order placed by customer 93,93,PRD00035,67,35.36,1,2024-07-06,882.72,374,In-Person Meeting,2024-04-12,150,2024-06-17,5,"Average product, could be better.",344,310
46,2024-08-28,2024-09-04,2024-08-30,Shipped,Order placed by customer 816,816,PRD00035,78,39.13,1,NULL,NULL,597,Online Chat,2024-09-01,150,2024-06-17,5,"Average product, could be better.",223,276
518,2024-07-14,2024-07-21,NULL,Cancelled,Order placed by customer 529,529,PRD00035,41,80.01,1,2024-07-21,100.74,213,Online Chat,2024-05-17,150,2024-06-17,5,"Average product, could be better.",782,324
933,2024-06-18,2024-06-25,2024-06-20,Shipped,Order placed by customer 903,903,PRD00037,13,52.20,1,2024-08-04,1612.92,410,Email,2024-01-15,251,2024-07-10,1,"Good quality, but a bit expensive.",770,282
933,2024-06-18,2024-06-25,2024-06-20,Shipped,Order placed by customer 903,903,PRD00037,13,52.20,1,2024-08-04,1612.92,410,Email,2024-01-15,720,2023-09-27,2,"Good quality, but a bit expensive.",770,282
18,2024-09-17,2024-09-24,NULL,In Process,Order placed by customer 64,64,PRD00037,49,55.82,1,NULL,NULL,137,Online Chat,2023-10-02,251,2024-07-10,1,"Good quality, but a bit expensive.",359,717
18,2024-09-17,2024-09-24,NULL,In Process,Order placed by customer 64,64,PRD00037,49,55.82,1,NULL,NULL,137,Online Chat,2023-10-02,720,2023-09-27,2,"Good quality, but a bit expensive.",359,717
18,2024-09-17,2024-09-24,NULL,In Process,Order placed by customer 64,64,PRD00037,49,55.82,1,NULL,NULL,494,Email,2023-10-16,251,2024-07-10,1,"Good quality, but a bit expensive.",359,717
18,2024-09-17,2024-09-24,NULL,In Process,Order placed by customer 64,64,PRD00037,49,55.82,1,NULL,NULL,494,Email,2023-10-16,720,2023-09-27,2,"Good quality, but a bit expensive.",359,717
18,2024-09-17,2024-09-24,NULL,In Process,Order placed by customer 64,64,PRD00037,49,55.82,1,NULL,NULL,566,Phone Call,2024-09-11,251,2024-07-10,1,"Good quality, but a bit expensive.",359,717
18,2024-09-17,2024-09-24,NULL,In Process,Order placed by customer 64,64,PRD00037,49,55.82,1,NULL,NULL,566,Phone Call,2024-09-11,720,2023-09-27,2,"Good quality, but a bit expensive.",359,717
599,2024-06-19,2024-06-26,NULL,In Process,Order placed by customer 222,222,PRD00039,30,75.60,1,2024-07-04,2022.29,NULL,NULL,NULL,NULL,NULL,NULL,NULL,852,492
599,2024-06-19,2024-06-26,NULL,In Process,Order placed by customer 222,222,PRD00039,30,75.60,1,2024-07-18,3434.51,NULL,NULL,NULL,NULL,NULL,NULL,NULL,852,492
588,2024-07-07,2024-07-14,NULL,Pending,Order placed by customer 608,608,PRD00042,6,39.40,1,2024-07-08,807.71,7,Phone Call,2024-08-09,632,2024-04-16,4,"Not satisfied, would not buy again.",318,653
588,2024-07-07,2024-07-14,NULL,Pending,Order placed by customer 608,608,PRD00042,6,39.40,1,2024-07-08,807.71,760,In-Person Meeting,2024-06-14,632,2024-04-16,4,"Not satisfied, would not buy again.",318,653
588,2024-07-07,2024-07-14,NULL,Pending,Order placed by customer 608,608,PRD00042,6,39.40,1,2024-07-08,807.71,821,Phone Call,2024-06-18,632,2024-04-16,4,"Not satisfied, would not buy again.",318,653
311,2024-08-17,2024-08-24,NULL,Pending,Order placed by customer 955,955,PRD00044,46,86.67,1,NULL,NULL,294,Online Chat,2024-01-17,38,2024-02-04,2,"Good quality, but a bit expensive.",272,58
749,2024-08-22,2024-08-29,NULL,In Process,Order placed by customer 68,68,PRD00044,96,58.98,1,2024-07-29,4224.44,59,Online Chat,2024-05-23,38,2024-02-04,2,"Good quality, but a bit expensive.",26,831
616,2024-08-09,2024-08-16,2024-08-11,Shipped,Order placed by customer 323,323,PRD00046,9,96.92,1,2024-07-29,3064.80,121,In-Person Meeting,2024-07-15,439,2023-11-15,3,"Good quality, but a bit expensive.",143,559
616,2024-08-09,2024-08-16,2024-08-11,Shipped,Order placed by customer 323,323,PRD00046,9,96.92,1,2024-07-29,3064.80,121,In-Person Meeting,2024-07-15,873,2023-12-14,5,"Good quality, but a bit expensive.",143,559
616,2024-08-09,2024-08-16,2024-08-11,Shipped,Order placed by customer 323,323,PRD00046,9,96.92,1,2024-07-29,3064.80,582,Online Chat,2024-02-10,439,2023-11-15,3,"Good quality, but a bit expensive.",143,559
616,2024-08-09,2024-08-16,2024-08-11,Shipped,Order placed by customer 323,323,PRD00046,9,96.92,1,2024-07-29,3064.80,582,Online Chat,2024-02-10,873,2023-12-14,5,"Good quality, but a bit expensive.",143,559
616,2024-08-09,2024-08-16,2024-08-11,Shipped,Order placed by customer 323,323,PRD00046,9,96.92,1,2024-07-29,3064.80,703,Online Chat,2024-05-06,439,2023-11-15,3,"Good quality, but a bit expensive.",143,559
616,2024-08-09,2024-08-16,2024-08-11,Shipped,Order placed by customer 323,323,PRD00046,9,96.92,1,2024-07-29,3064.80,703,Online Chat,2024-05-06,873,2023-12-14,5,"Good quality, but a bit expensive.",143,559
910,2024-07-22,2024-07-29,NULL,Cancelled,Order placed by customer 968,968,PRD00048,39,59.52,1,2024-08-14,945.51,160,In-Person Meeting,2023-12-16,90,2024-07-15,5,"Average product, could be better.",722,165
910,2024-07-22,2024-07-29,NULL,Cancelled,Order placed by customer 968,968,PRD00048,39,59.52,1,2024-08-14,945.51,160,In-Person Meeting,2023-12-16,869,2024-06-25,3,Excellent product! Highly recommended.,722,165
910,2024-07-22,2024-07-29,NULL,Cancelled,Order placed by customer 968,968,PRD00048,39,59.52,1,2024-08-14,945.51,444,Online Chat,2024-05-14,90,2024-07-15,5,"Average product, could be better.",722,165
910,2024-07-22,2024-07-29,NULL,Cancelled,Order placed by customer 968,968,PRD00048,39,59.52,1,2024-08-14,945.51,444,Online Chat,2024-05-14,869,2024-06-25,3,Excellent product! Highly recommended.,722,165
847,2024-08-25,2024-09-01,NULL,Pending,Order placed by customer 305,305,PRD00050,99,41.52,1,2024-08-25,2368.88,236,In-Person Meeting,2023-11-05,74,2024-05-18,3,Excellent product! Highly recommended.,709,295
847,2024-08-25,2024-09-01,NULL,Pending,Order placed by customer 305,305,PRD00050,99,41.52,1,2024-08-25,2368.88,649,Phone Call,2024-01-12,74,2024-05-18,3,Excellent product! Highly recommended.,709,295
96,2024-07-27,2024-08-03,2024-07-29,Shipped,Order placed by customer 728,728,PRD00050,75,62.88,1,2024-07-27,3301.02,135,In-Person Meeting,2024-02-16,74,2024-05-18,3,Excellent product! Highly recommended.,858,541
96,2024-07-27,2024-08-03,2024-07-29,Shipped,Order placed by customer 728,728,PRD00050,75,62.88,1,2024-07-27,3301.02,452,Email,2024-04-27,74,2024-05-18,3,Excellent product! Highly recommended.,858,541
361,2024-09-05,2024-09-12,2024-09-07,Shipped,Order placed by customer 882,882,PRD00050,39,48.37,1,2024-09-16,4073.48,NULL,NULL,NULL,74,2024-05-18,3,Excellent product! Highly recommended.,831,471
653,2024-08-05,2024-08-12,2024-08-07,Shipped,Order placed by customer 947,947,PRD00050,24,99.23,1,NULL,NULL,3,Email,2023-12-06,74,2024-05-18,3,Excellent product! Highly recommended.,193,882
653,2024-08-05,2024-08-12,2024-08-07,Shipped,Order placed by customer 947,947,PRD00050,24,99.23,1,NULL,NULL,61,In-Person Meeting,2024-08-28,74,2024-05-18,3,Excellent product! Highly recommended.,193,882
653,2024-08-05,2024-08-12,2024-08-07,Shipped,Order placed by customer 947,947,PRD00050,24,99.23,1,NULL,NULL,809,In-Person Meeting,2024-01-23,74,2024-05-18,3,Excellent product! Highly recommended.,193,882
653,2024-08-05,2024-08-12,2024-08-07,Shipped,Order placed by customer 947,947,PRD00050,24,99.23,1,NULL,NULL,911,In-Person Meeting,2024-04-07,74,2024-05-18,3,Excellent product! Highly recommended.,193,882
77,2024-08-01,2024-08-08,NULL,In Process,Order placed by customer 81,81,PRD00051,86,58.44,1,2024-09-17,2185.24,43,In-Person Meeting,2024-04-26,714,2024-07-27,5,Excellent product! Highly recommended.,294,788
77,2024-08-01,2024-08-08,NULL,In Process,Order placed by customer 81,81,PRD00051,86,58.44,1,2024-08-06,4196.69,43,In-Person Meeting,2024-04-26,714,2024-07-27,5,Excellent product! Highly recommended.,294,788
235,2024-07-23,2024-07-30,NULL,Pending,Order placed by customer 851,851,PRD00052,86,43.53,1,NULL,NULL,535,Online Chat,2023-11-01,891,2023-11-16,3,"Good quality, but a bit expensive.",221,563
89,2024-08-01,2024-08-08,2024-08-03,Shipped,Order placed by customer 353,353,PRD00054,57,14.03,1,2024-07-30,4548.84,NULL,NULL,NULL,12,2024-06-11,5,Excellent product! Highly recommended.,60,198
296,2024-07-15,2024-07-22,NULL,Pending,Order placed by customer 263,263,PRD00054,88,29.50,1,NULL,NULL,NULL,NULL,NULL,12,2024-06-11,5,Excellent product! Highly recommended.,736,632
19,2024-08-20,2024-08-27,NULL,Cancelled,Order placed by customer 280,280,PRD00055,77,16.25,1,2024-09-04,4760.30,839,In-Person Meeting,2024-01-14,977,2023-11-10,4,"Good quality, but a bit expensive.",543,59
19,2024-08-20,2024-08-27,NULL,Cancelled,Order placed by customer 280,280,PRD00055,77,16.25,1,2024-09-04,4760.30,857,Email,2024-05-04,977,2023-11-10,4,"Good quality, but a bit expensive.",543,59
19,2024-08-20,2024-08-27,NULL,Cancelled,Order placed by customer 280,280,PRD00055,77,16.25,1,2024-09-04,4760.30,861,Online Chat,2024-08-17,977,2023-11-10,4,"Good quality, but a bit expensive.",543,59
104,2024-09-16,2024-09-23,2024-09-18,Shipped,Order placed by customer 985,985,PRD00056,57,31.09,1,2024-09-15,4671.05,NULL,NULL,NULL,NULL,NULL,NULL,NULL,48,748
104,2024-09-16,2024-09-23,2024-09-18,Shipped,Order placed by customer 985,985,PRD00056,57,31.09,1,2024-07-13,1829.74,NULL,NULL,NULL,NULL,NULL,NULL,NULL,48,748
436,2024-07-13,2024-07-20,NULL,In Process,Order placed by customer 245,245,PRD00056,73,20.73,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,815,683
944,2024-09-15,2024-09-22,NULL,Pending,Order placed by customer 181,181,PRD00057,81,96.13,1,2024-07-26,1530.13,993,Email,2023-12-02,934,2024-06-15,2,"Good quality, but a bit expensive.",113,102
558,2024-08-19,2024-08-26,2024-08-21,Shipped,Order placed by customer 545,545,PRD00059,74,35.55,1,2024-06-13,4089.68,NULL,NULL,NULL,530,2024-08-28,3,"Not satisfied, would not buy again.",96,228
254,2024-08-16,2024-08-23,NULL,Pending,Order placed by customer 424,424,PRD00059,88,16.19,1,2024-06-25,2044.41,109,Email,2024-01-18,530,2024-08-28,3,"Not satisfied, would not buy again.",180,648
254,2024-08-16,2024-08-23,NULL,Pending,Order placed by customer 424,424,PRD00059,88,16.19,1,2024-06-25,2044.41,378,Phone Call,2024-06-27,530,2024-08-28,3,"Not satisfied, would not buy again.",180,648
254,2024-08-16,2024-08-23,NULL,Pending,Order placed by customer 424,424,PRD00059,88,16.19,1,2024-06-18,1483.40,109,Email,2024-01-18,530,2024-08-28,3,"Not satisfied, would not buy again.",180,648
254,2024-08-16,2024-08-23,NULL,Pending,Order placed by customer 424,424,PRD00059,88,16.19,1,2024-06-18,1483.40,378,Phone Call,2024-06-27,530,2024-08-28,3,"Not satisfied, would not buy again.",180,648
190,2024-08-22,2024-08-29,NULL,In Process,Order placed by customer 796,796,PRD00059,54,49.65,1,NULL,NULL,439,In-Person Meeting,2024-02-18,530,2024-08-28,3,"Not satisfied, would not buy again.",371,699
219,2024-06-13,2024-06-20,NULL,Cancelled,Order placed by customer 41,41,PRD00059,18,67.58,1,2024-08-29,2097.53,459,Email,2023-11-09,530,2024-08-28,3,"Not satisfied, would not buy again.",684,882
156,2024-07-31,2024-08-07,2024-08-02,Shipped,Order placed by customer 876,876,PRD00061,74,16.12,1,2024-07-08,3475.23,619,In-Person Meeting,2024-09-17,484,2024-04-22,5,Fantastic! Exceeded my expectations.,782,324
156,2024-07-31,2024-08-07,2024-08-02,Shipped,Order placed by customer 876,876,PRD00061,74,16.12,1,2024-07-08,3475.23,619,In-Person Meeting,2024-09-17,374,2024-04-06,3,"Average product, could be better.",782,324
156,2024-07-31,2024-08-07,2024-08-02,Shipped,Order placed by customer 876,876,PRD00061,74,16.12,1,2024-07-08,3475.23,619,In-Person Meeting,2024-09-17,202,2024-02-17,2,"Average product, could be better.",782,324
156,2024-07-31,2024-08-07,2024-08-02,Shipped,Order placed by customer 876,876,PRD00061,74,16.12,1,2024-07-08,3475.23,619,In-Person Meeting,2024-09-17,701,2024-07-16,1,Excellent product! Highly recommended.,782,324
123,2024-08-14,2024-08-21,2024-08-16,Shipped,Order placed by customer 608,608,PRD00062,54,43.70,1,2024-07-08,807.71,7,Phone Call,2024-08-09,594,2023-10-10,2,Excellent product! Highly recommended.,318,653
123,2024-08-14,2024-08-21,2024-08-16,Shipped,Order placed by customer 608,608,PRD00062,54,43.70,1,2024-07-08,807.71,760,In-Person Meeting,2024-06-14,594,2023-10-10,2,Excellent product! Highly recommended.,318,653
123,2024-08-14,2024-08-21,2024-08-16,Shipped,Order placed by customer 608,608,PRD00062,54,43.70,1,2024-07-08,807.71,821,Phone Call,2024-06-18,594,2023-10-10,2,Excellent product! Highly recommended.,318,653
519,2024-06-17,2024-06-24,NULL,Cancelled,Order placed by customer 672,672,PRD00062,89,96.33,1,2024-06-23,1550.45,NULL,NULL,NULL,594,2023-10-10,2,Excellent product! Highly recommended.,281,852
