productCode,productName,productLine,productScale,productVendor,productDescription,quantityInStock,buyPrice,MSRP
PRD00088,Product 88,Trains 869,1:24,Vendor B,"High-quality product 88, designed for performance and durability.",120,330.90,416.35
PRD00089,Product 89,Ships 515,1:50,Vendor C,"High-quality product 89, designed for performance and durability.",848,808.41,1207.70
PRD00090,Product 90,Trains 478,1:18,Vendor A,"High-quality product 90, designed for performance and durability.",119,453.35,585.67
PRD00091,Product 91,Planes 271,1:24,Vendor B,"High-quality product 91, designed for performance and durability.",620,939.21,1394.42
PRD00092,Product 92,Ships 304,1:50,Vendor C,"High-quality product 92, designed for performance and durability.",311,811.51,1092.00
PRD00093,Product 93,Classic Cars 697,1:18,Vendor A,"High-quality product 93, designed for performance and durability.",393,724.30,922.64
PRD00094,Product 94,Trains 786,1:24,Vendor B,"High-quality product 94, designed for performance and durability.",122,762.48,1044.17
PRD00095,Product 95,Ships 746,1:50,Vendor C,"High-quality product 95, designed for performance and durability.",858,253.60,374.21
PRD00096,Product 96,Classic Cars 253,1:18,Vendor A,"High-quality product 96, designed for performance and durability.",398,50.75,65.15
PRD00097,Product 97,Classic Cars 867,1:24,Vendor B,"High-quality product 97, designed for performance and durability.",452,538.10,781.22
PRD00098,Product 98,Ships 955,1:50,Vendor C,"High-quality product 98, designed for performance and durability.",577,919.96,1232.26
PRD00099,Product 99,Motorcycles 524,1:18,Vendor A,"High-quality product 99, designed for performance and durability.",661,409.87,517.71
PRD00100,Product 100,Planes 555,1:24,Vendor B,"High-quality product 100, designed for performance and durability.",274,606.78,874.15
PRD00101,Product 101,Classic Cars 253,1:50,Vendor C,"High-quality product 101, designed for performance and durability.",924,666.27,835.36
PRD00102,Product 102,Ships 824,1:18,Vendor A,"High-quality product 102, designed for performance and durability.",184,170.49,240.68
PRD00103,Product 103,Classic Cars 698,1:24,Vendor B,"High-quality product 103, designed for performance and durability.",804,431.50,545.79
PRD00104,Product 104,Motorcycles 32,1:50,Vendor C,"High-quality product 104, designed for performance and durability.",346,101.91,124.82
PRD00105,Product 105,Classic Cars 364,1:18,Vendor A,"High-quality product 105, designed for performance and durability.",324,398.92,574.05
PRD00106,Product 106,Trains 572,1:24,Vendor B,"High-quality product 106, designed for performance and durability.",532,873.94,1167.69
PRD00107,Product 107,Ships 9,1:50,Vendor C,"High-quality product 107, designed for performance and durability.",891,979.01,1299.53
PRD00108,Product 108,Motorcycles 524,1:18,Vendor A,"High-quality product 108, designed for performance and durability.",1000,455.36,671.30
PRD00109,Product 109,Motorcycles 978,1:24,Vendor B,"High-quality product 109, designed for performance and durability.",872,347.23,455.67
PRD00110,Product 110,Classic Cars 114,1:50,Vendor C,"High-quality product 110, designed for performance and durability.",447,117.02,152.76
PRD00111,Product 111,Motorcycles 493,1:18,Vendor A,"High-quality product 111, designed for performance and durability.",172,20.42,29.47
PRD00112,Product 112,Planes 903,1:24,Vendor B,"High-quality product 112, designed for performance and durability.",472,173.78,212.38
PRD00113,Product 113,Motorcycles 897,1:50,Vendor C,"High-quality product 113, designed for performance and durability.",640,383.85,505.96
PRD00114,Product 114,Ships 607,1:18,Vendor A,"High-quality product 114, designed for performance and durability.",665,710.79,1047.06
PRD00115,Product 115,Planes 699,1:24,Vendor B,"High-quality product 115, designed for performance and durability.",454,352.80,490.11
PRD00116,Product 116,Trains 31,1:50,Vendor C,"High-quality product 116, designed for performance and durability.",61,742.69,953.32
PRD00117,Product 117,Motorcycles 395,1:18,Vendor A,"High-quality product 117, designed for performance and durability.",808,23.28,34.86
PRD00118,Product 118,Motorcycles 769,1:24,Vendor B,"High-quality product 118, designed for performance and durability.",981,686.07,1001.34
PRD00119,Product 119,Motorcycles 585,1:50,Vendor C,"High-quality product 119, designed for performance and durability.",126,579.49,826.59
PRD00120,Product 120,Planes 578,1:18,Vendor A,"High-quality product 120, designed for performance and durability.",228,281.70,389.21
PRD00121,Product 121,Classic Cars 335,1:24,Vendor B,"High-quality product 121, designed for performance and durability.",710,323.79,395.26
PRD00122,Product 122,Ships 18,1:50,Vendor C,"High-quality product 122, designed for performance and durability.",417,777.29,1116.16
PRD00123,Product 123,Trains 796,1:18,Vendor A,"High-quality product 123, designed for performance and durability.",577,512.23,633.14
PRD00124,Product 124,Ships 59,1:24,Vendor B,"High-quality product 124, designed for performance and durability.",603,687.66,892.80
PRD00125,Product 125,Ships 28,1:50,Vendor C,"High-quality product 125, designed for performance and durability.",833,192.68,246.42
PRD00126,Product 126,Classic Cars 562,1:18,Vendor A,"High-quality product 126, designed for performance and durability.",144,985.48,1239.27
PRD00127,Product 127,Motorcycles 866,1:24,Vendor B,"High-quality product 127, designed for performance and durability.",60,729.81,904.44
PRD00128,Product 128,Motorcycles 693,1:50,Vendor C,"High-quality product 128, designed for performance and durability.",821,68.19,92.42
PRD00129,Product 129,Classic Cars 56,1:18,Vendor A,"High-quality product 129, designed for performance and durability.",608,417.87,553.41
PRD00130,Product 130,Motorcycles 142,1:24,Vendor B,"High-quality product 130, designed for performance and durability.",979,330.53,429.89
PRD00131,Product 131,Ships 340,1:50,Vendor C,"High-quality product 131, designed for performance and durability.",720,280.51,415.13
PRD00132,Product 132,Motorcycles 324,1:18,Vendor A,"High-quality product 132, designed for performance and durability.",512,914.84,1215.55
PRD00133,Product 133,Ships 647,1:24,Vendor B,"High-quality product 133, designed for performance and durability.",870,574.74,721.91
PRD00134,Product 134,Planes 442,1:50,Vendor C,"High-quality product 134, designed for performance and durability.",410,700.45,850.56
PRD00135,Product 135,Trains 786,1:18,Vendor A,"High-quality product 135, designed for performance and durability.",225,904.63,1155.31
PRD00136,Product 136,Motorcycles 975,1:24,Vendor B,"High-quality product 136, designed for performance and durability.",146,997.14,1353.49
PRD00137,Product 137,Trains 730,1:50,Vendor C,"High-quality product 137, designed for performance and durability.",494,18.09,26.68
PRD00138,Product 138,Trains 786,1:18,Vendor A,"High-quality product 138, designed for performance and durability.",610,775.54,1092.24
PRD00139,Product 139,Ships 924,1:24,Vendor B,"High-quality product 139, designed for performance and durability.",910,336.16,441.60
PRD00140,Product 140,Classic Cars 13,1:50,Vendor C,"High-quality product 140, designed for performance and durability.",738,183.77,240.58
PRD00141,Product 141,Classic Cars 72,1:18,Vendor A,"High-quality product 141, designed for performance and durability.",105,780.53,970.88
PRD00142,Product 142,Ships 163,1:24,Vendor B,"High-quality product 142, designed for performance and durability.",276,138.68,167.71
PRD00143,Product 143,Ships 348,1:50,Vendor C,"High-quality product 143, designed for performance and durability.",802,274.17,379.49
PRD00144,Product 144,Classic Cars 777,1:18,Vendor A,"High-quality product 144, designed for performance and durability.",378,839.75,1187.62
PRD00145,Product 145,Classic Cars 810,1:24,Vendor B,"High-quality product 145, designed for performance and durability.",389,202.07,286.17
PRD00146,Product 146,Ships 607,1:50,Vendor C,"High-quality product 146, designed for performance and durability.",795,497.55,654.47
PRD00147,Product 147,Ships 147,1:18,Vendor A,"High-quality product 147, designed for performance and durability.",281,535.66,695.53
PRD00148,Product 148,Ships 638,1:24,Vendor B,"High-quality product 148, designed for performance and durability.",676,48.33,68.79
PRD00149,Product 149,Planes 627,1:50,Vendor C,"High-quality product 149, designed for performance and durability.",966,275.13,356.42
PRD00150,Product 150,Planes 385,1:18,Vendor A,"High-quality product 150, designed for performance and durability.",704,185.42,252.12
PRD00151,Product 151,Motorcycles 263,1:24,Vendor B,"High-quality product 151, designed for performance and durability.",998,854.78,1168.72
PRD00152,Product 152,Ships 155,1:50,Vendor C,"High-quality product 152, designed for performance and durability.",814,494.21,671.22
PRD00153,Product 153,Ships 277,1:18,Vendor A,"High-quality product 153, designed for performance and durability.",158,195.83,246.73
PRD00154,Product 154,Motorcycles 211,1:24,Vendor B,"High-quality product 154, designed for performance and durability.",526,744.63,1071.48
PRD00155,Product 155,Motorcycles 496,1:50,Vendor C,"High-quality product 155, designed for performance and durability.",759,795.60,963.90
PRD00156,Product 156,Ships 844,1:18,Vendor A,"High-quality product 156, designed for performance and durability.",123,854.53,1037.63
PRD00157,Product 157,Classic Cars 681,1:24,Vendor B,"High-quality product 157, designed for performance and durability.",132,504.29,751.01
PRD00158,Product 158,Trains 24,1:50,Vendor C,"High-quality product 158, designed for performance and durability.",477,57.15,83.19
PRD00159,Product 159,Trains 621,1:18,Vendor A,"High-quality product 159, designed for performance and durability.",332,935.63,1171.43
PRD00160,Product 160,Trains 52,1:24,Vendor B,"High-quality product 160, designed for performance and durability.",529,680.27,1015.45
PRD00161,Product 161,Classic Cars 72,1:50,Vendor C,"High-quality product 161, designed for performance and durability.",360,361.13,454.63
PRD00162,Product 162,Trains 782,1:18,Vendor A,"High-quality product 162, designed for performance and durability.",302,996.62,1491.32
PRD00163,Product 163,Trains 804,1:24,Vendor B,"High-quality product 163, designed for performance and durability.",937,744.37,986.15
PRD00164,Product 164,Trains 902,1:50,Vendor C,"High-quality product 164, designed for performance and durability.",517,903.89,1350.51
PRD00165,Product 165,Ships 888,1:18,Vendor A,"High-quality product 165, designed for performance and durability.",289,277.73,345.52
PRD00166,Product 166,Trains 573,1:24,Vendor B,"High-quality product 166, designed for performance and durability.",158,21.32,30.52
PRD00167,Product 167,Trains 778,1:50,Vendor C,"High-quality product 167, designed for performance and durability.",976,693.14,982.22
PRD00168,Product 168,Planes 255,1:18,Vendor A,"High-quality product 168, designed for performance and durability.",302,38.32,47.90
PRD00169,Product 169,Ships 300,1:24,Vendor B,"High-quality product 169, designed for performance and durability.",342,222.88,279.46
PRD00170,Product 170,Planes 982,1:50,Vendor C,"High-quality product 170, designed for performance and durability.",175,926.63,1138.89
PRD00171,Product 171,Trains 603,1:18,Vendor A,"High-quality product 171, designed for performance and durability.",762,995.64,1443.81
PRD00172,Product 172,Planes 775,1:24,Vendor B,"High-quality product 172, designed for performance and durability.",442,376.25,561.60
PRD00173,Product 173,Motorcycles 186,1:50,Vendor C,"High-quality product 173, designed for performance and durability.",692,879.32,1210.31
PRD00174,Product 174,Ships 971,1:18,Vendor A,"High-quality product 174, designed for performance and durability.",484,860.17,1066.94
PRD00175,Product 175,Ships 277,1:24,Vendor B,"High-quality product 175, designed for performance and durability.",791,208.96,279.21
PRD00176,Product 176,Motorcycles 393,1:50,Vendor C,"High-quality product 176, designed for performance and durability.",821,448.13,604.23
PRD00177,Product 177,Classic Cars 364,1:18,Vendor A,"High-quality product 177, designed for performance and durability.",788,767.79,1036.25
PRD00178,Product 178,Classic Cars 412,1:24,Vendor B,"High-quality product 178, designed for performance and durability.",555,220.42,326.95
PRD00179,Product 179,Trains 871,1:50,Vendor C,"High-quality product 179, designed for performance and durability.",664,744.31,973.60
PRD00180,Product 180,Motorcycles 996,1:18,Vendor A,"High-quality product 180, designed for performance and durability.",293,838.55,1208.65
PRD00181,Product 181,Classic Cars 381,1:24,Vendor B,"High-quality product 181, designed for performance and durability.",349,34.50,44.74
PRD00182,Product 182,Classic Cars 681,1:50,Vendor C,"High-quality product 182, designed for performance and durability.",183,416.63,523.19
PRD00183,Product 183,Planes 8,1:18,Vendor A,"High-quality product 183, designed for performance and durability.",238,737.05,1017.45
PRD00184,Product 184,Ships 591,1:24,Vendor B,"High-quality product 184, designed for performance and durability.",503,743.53,900.63
PRD00185,Product 185,Trains 75,1:50,Vendor C,"High-quality product 185, designed for performance and durability.",807,573.75,766.24
PRD00186,Product 186,Trains 600,1:18,Vendor A,"High-quality product 186, designed for performance and durability.",247,853.50,1249.18
PRD00187,Product 187,Motorcycles 305,1:24,Vendor B,"High-quality product 187, designed for performance and durability.",54,764.01,1114.28
PRD00188,Product 188,Classic Cars 527,1:50,Vendor C,"High-quality product 188, designed for performance and durability.",327,450.18,643.89
PRD00189,Product 189,Planes 265,1:18,Vendor A,"High-quality product 189, designed for performance and durability.",440,353.74,482.08
PRD00190,Product 190,Classic Cars 641,1:24,Vendor B,"High-quality product 190, designed for performance and durability.",790,766.92,1097.21
PRD00191,Product 191,Classic Cars 454,1:50,Vendor C,"High-quality product 191, designed for performance and durability.",487,951.48,1267.56
PRD00192,Product 192,Motorcycles 55,1:18,Vendor A,"High-quality product 192, designed for performance and durability.",300,657.52,958.58
PRD00193,Product 193,Ships 707,1:24,Vendor B,"High-quality product 193, designed for performance and durability.",562,218.17,265.79
PRD00194,Product 194,Trains 128,1:50,Vendor C,"High-quality product 194, designed for performance and durability.",700,893.69,1189.94
PRD00195,Product 195,Classic Cars 558,1:18,Vendor A,"High-quality product 195, designed for performance and durability.",224,307.66,424.68
PRD00196,Product 196,Trains 259,1:24,Vendor B,"High-quality product 196, designed for performance and durability.",226,463.19,643.95
PRD00197,Product 197,Trains 941,1:50,Vendor C,"High-quality product 197, designed for performance and durability.",117,673.51,868.05
PRD00198,Product 198,Trains 659,1:18,Vendor A,"High-quality product 198, designed for performance and durability.",769,495.80,603.11
PRD00199,Product 199,Ships 844,1:24,Vendor B,"High-quality product 199, designed for performance and durability.",301,443.50,569.77
PRD00200,Product 200,Ships 702,1:50,Vendor C,"High-quality product 200, designed for performance and durability.",61,473.50,688.63
PRD00201,Product 201,Motorcycles 551,1:18,Vendor A,"High-quality product 201, designed for performance and durability.",461,540.98,764.02
PRD00202,Product 202,Classic Cars 328,1:24,Vendor B,"High-quality product 202, designed for performance and durability.",70,642.54,788.82
PRD00203,Product 203,Ships 588,1:50,Vendor C,"High-quality product 203, designed for performance and durability.",613,813.07,1163.85
PRD00204,Product 204,Classic Cars 475,1:18,Vendor A,"High-quality product 204, designed for performance and durability.",689,898.36,1279.40
PRD00205,Product 205,Classic Cars 368,1:24,Vendor B,"High-quality product 205, designed for performance and durability.",554,185.87,278.49
PRD00206,Product 206,Motorcycles 119,1:50,Vendor C,"High-quality product 206, designed for performance and durability.",763,772.22,968.91
PRD00207,Product 207,Classic Cars 821,1:18,Vendor A,"High-quality product 207, designed for performance and durability.",584,908.41,1145.42
PRD00208,Product 208,Trains 628,1:24,Vendor B,"High-quality product 208, designed for performance and durability.",153,114.22,165.31
PRD00209,Product 209,Planes 443,1:50,Vendor C,"High-quality product 209, designed for performance and durability.",200,490.14,698.15
PRD00210,Product 210,Trains 88,1:18,Vendor A,"High-quality product 210, designed for performance and durability.",847,227.90,336.83
PRD00211,Product 211,Classic Cars 503,1:24,Vendor B,"High-quality product 211, designed for performance and durability.",755,960.46,1374.10
PRD00212,Product 212,Ships 611,1:50,Vendor C,"High-quality product 212, designed for performance and durability.",839,531.18,674.60
PRD00213,Product 213,Classic Cars 675,1:18,Vendor A,"High-quality product 213, designed for performance and durability.",242,796.65,1168.12
PRD00214,Product 214,Planes 35,1:24,Vendor B,"High-quality product 214, designed for performance and durability.",241,470.83,596.17
PRD00215,Product 215,Classic Cars 650,1:50,Vendor C,"High-quality product 215, designed for performance and durability.",744,120.75,177.68
PRD00216,Product 216,Planes 576,1:18,Vendor A,"High-quality product 216, designed for performance and durability.",468,450.38,671.77
PRD00217,Product 217,Classic Cars 275,1:24,Vendor B,"High-quality product 217, designed for performance and durability.",983,941.29,1382.05
PRD00218,Product 218,Motorcycles 159,1:50,Vendor C,"High-quality product 218, designed for performance and durability.",245,23.83,29.45
PRD00219,Product 219,Ships 667,1:18,Vendor A,"High-quality product 219, designed for performance and durability.",494,777.81,1044.61
PRD00220,Product 220,Motorcycles 136,1:24,Vendor B,"High-quality product 220, designed for performance and durability.",973,326.84,455.08
PRD00221,Product 221,Motorcycles 439,1:50,Vendor C,"High-quality product 221, designed for performance and durability.",439,272.02,379.61
PRD00222,Product 222,Planes 682,1:18,Vendor A,"High-quality product 222, designed for performance and durability.",589,995.56,1208.40
PRD00223,Product 223,Trains 88,1:24,Vendor B,"High-quality product 223, designed for performance and durability.",469,129.39,178.09
PRD00224,Product 224,Ships 594,1:50,Vendor C,"High-quality product 224, designed for performance and durability.",579,206.88,264.99
PRD00225,Product 225,Classic Cars 198,1:18,Vendor A,"High-quality product 225, designed for performance and durability.",841,365.95,444.97
PRD00226,Product 226,Classic Cars 744,1:24,Vendor B,"High-quality product 226, designed for performance and durability.",404,223.40,286.75
PRD00227,Product 227,Motorcycles 455,1:50,Vendor C,"High-quality product 227, designed for performance and durability.",674,493.87,643.95
PRD00228,Product 228,Trains 461,1:18,Vendor A,"High-quality product 228, designed for performance and durability.",327,921.71,1106.46
PRD00229,Product 229,Trains 723,1:24,Vendor B,"High-quality product 229, designed for performance and durability.",184,714.47,860.01
PRD00230,Product 230,Ships 649,1:50,Vendor C,"High-quality product 230, designed for performance and durability.",738,26.06,37.20
PRD00231,Product 231,Trains 573,1:18,Vendor A,"High-quality product 231, designed for performance and durability.",719,167.69,245.55
PRD00232,Product 232,Planes 838,1:24,Vendor B,"High-quality product 232, designed for performance and durability.",434,519.32,624.56
PRD00233,Product 233,Trains 174,1:50,Vendor C,"High-quality product 233, designed for performance and durability.",641,107.69,144.61
PRD00234,Product 234,Motorcycles 823,1:18,Vendor A,"High-quality product 234, designed for performance and durability.",802,588.75,777.66
PRD00235,Product 235,Classic Cars 727,1:24,Vendor B,"High-quality product 235, designed for performance and durability.",942,110.90,163.40
PRD00236,Product 236,Motorcycles 154,1:50,Vendor C,"High-quality product 236, designed for performance and durability.",396,246.10,325.00
PRD00237,Product 237,Motorcycles 159,1:18,Vendor A,"High-quality product 237, designed for performance and durability.",491,896.93,1082.96
PRD00238,Product 238,Motorcycles 221,1:24,Vendor B,"High-quality product 238, designed for performance and durability.",576,131.44,166.20
PRD00239,Product 239,Ships 983,1:50,Vendor C,"High-quality product 239, designed for performance and durability.",120,803.19,1193.95
PRD00240,Product 240,Planes 250,1:18,Vendor A,"High-quality product 240, designed for performance and durability.",535,221.66,314.24
PRD00241,Product 241,Motorcycles 585,1:24,Vendor B,"High-quality product 241, designed for performance and durability.",621,787.86,989.79
